"Chidamber-Kemerer metrics,dom., 3 dez. 2023 19:32:17 GMT-03:00"
"Class,CBO,DIT,LCOM,NOC,RFC,WMC"
"info.archinnov.achilles.configuration.ArgumentExtractor,18,1,1,0,79,38"
"info.archinnov.achilles.configuration.ConfigurationParameters,4,n/a,2,n/a,5,4"
"info.archinnov.achilles.embedded.AchillesCassandraConfig,1,1,1,0,8,3"
"info.archinnov.achilles.embedded.AchillesCassandraDaemon,0,1,1,0,24,30"
"info.archinnov.achilles.embedded.AchillesInitializer,4,1,1,0,42,17"
"info.archinnov.achilles.embedded.CassandraEmbeddedConfigParameters,50,1,1,0,3,1"
"info.archinnov.achilles.embedded.CassandraEmbeddedServer,3,1,2,0,11,6"
"info.archinnov.achilles.embedded.CassandraEmbeddedServerBuilder,9,1,2,0,52,56"
"info.archinnov.achilles.embedded.CassandraEmbeddedServerBuilderTest,0,1,1,0,2,1"
"info.archinnov.achilles.embedded.CassandraShutDownHook,0,1,1,0,8,4"
"info.archinnov.achilles.embedded.OrderedShutdownHook,0,1,1,0,11,4"
"info.archinnov.achilles.embedded.PortFinder,0,1,2,0,22,10"
"info.archinnov.achilles.embedded.PortFinderTest,2,1,1,0,5,1"
"info.archinnov.achilles.embedded.ServerStarter,7,n/a,3,n/a,72,32"
"info.archinnov.achilles.embedded.SetUtils,0,1,1,0,4,1"
"info.archinnov.achilles.exception.AchillesBeanMappingException,5,1,0,0,4,3"
"info.archinnov.achilles.exception.AchillesBeanValidationException,3,1,0,0,5,4"
"info.archinnov.achilles.exception.AchillesException,13,4,0,6,8,4"
"info.archinnov.achilles.exception.AchillesInvalidTableException,2,1,0,0,2,1"
"info.archinnov.achilles.exception.AchillesLightWeightTransactionException,5,1,1,0,8,4"
"info.archinnov.achilles.exception.AchillesStaleObjectStateException,0,1,0,0,2,1"
"info.archinnov.achilles.exception.AchillesTranscodingException,19,1,0,0,5,4"
"info.archinnov.achilles.generated.function.AbstractCQLCompatibleType,1,1,1,0,8,5"
"info.archinnov.achilles.internals.apt.AptUtils,42,1,16,0,130,72"
"info.archinnov.achilles.internals.apt.annotations.AchillesMeta,n/a,n/a,n/a,n/a,0,n/a"
"info.archinnov.achilles.internals.apt.processors.meta.AchillesProcessor,22,2,3,0,75,19"
"info.archinnov.achilles.internals.apt_utils.AbstractTestProcessor,19,2,7,14,50,17"
"info.archinnov.achilles.internals.apt_utils.AptAssertOK,n/a,n/a,n/a,n/a,1,n/a"
"info.archinnov.achilles.internals.cache.CacheKey,6,1,0,0,12,6"
"info.archinnov.achilles.internals.cache.CacheKey.Operation,11,n/a,3,n/a,4,21"
"info.archinnov.achilles.internals.cache.StatementsCache,59,1,1,0,33,11"
"info.archinnov.achilles.internals.cassandra_version.CassandraFeature,15,n/a,2,n/a,2,0"
"info.archinnov.achilles.internals.cassandra_version.DSE_4_8_X,4,1,4,0,6,5"
"info.archinnov.achilles.internals.cassandra_version.DSE_5_0_0,4,1,4,9,6,5"
"info.archinnov.achilles.internals.cassandra_version.DSE_5_0_1,1,1,1,0,2,2"
"info.archinnov.achilles.internals.cassandra_version.DSE_5_0_2,1,1,1,0,2,2"
"info.archinnov.achilles.internals.cassandra_version.DSE_5_0_3,1,1,1,1,2,2"
"info.archinnov.achilles.internals.cassandra_version.DSE_5_0_4,0,1,1,0,2,2"
"info.archinnov.achilles.internals.cassandra_version.DSE_5_0_5,0,1,1,0,2,2"
"info.archinnov.achilles.internals.cassandra_version.DSE_5_0_6,0,1,1,0,2,2"
"info.archinnov.achilles.internals.cassandra_version.DSE_5_0_7,0,1,1,0,2,2"
"info.archinnov.achilles.internals.cassandra_version.DSE_5_0_8,0,1,1,0,2,2"
"info.archinnov.achilles.internals.cassandra_version.DSE_5_0_9,0,1,1,0,2,2"
"info.archinnov.achilles.internals.cassandra_version.DSE_5_1_0,8,1,6,1,8,7"
"info.archinnov.achilles.internals.cassandra_version.DSE_5_1_1,1,1,1,9,2,2"
"info.archinnov.achilles.internals.cassandra_version.DSE_5_1_10,1,1,1,0,2,2"
"info.archinnov.achilles.internals.cassandra_version.DSE_5_1_2,1,1,1,0,2,2"
"info.archinnov.achilles.internals.cassandra_version.DSE_5_1_3,1,1,1,0,2,2"
"info.archinnov.achilles.internals.cassandra_version.DSE_5_1_4,1,1,1,0,2,2"
"info.archinnov.achilles.internals.cassandra_version.DSE_5_1_5,1,1,1,0,2,2"
"info.archinnov.achilles.internals.cassandra_version.DSE_5_1_6,1,1,1,0,2,2"
"info.archinnov.achilles.internals.cassandra_version.DSE_5_1_7,1,1,1,0,2,2"
"info.archinnov.achilles.internals.cassandra_version.DSE_5_1_8,1,1,1,0,2,2"
"info.archinnov.achilles.internals.cassandra_version.DSE_5_1_9,1,1,1,0,2,2"
"info.archinnov.achilles.internals.cassandra_version.InternalCassandraVersion,n/a,n/a,n/a,n/a,19,n/a"
"info.archinnov.achilles.internals.cassandra_version.V2_1,3,1,2,2,4,3"
"info.archinnov.achilles.internals.cassandra_version.V2_2,10,1,11,1,13,12"
"info.archinnov.achilles.internals.cassandra_version.V3_0,5,1,5,3,7,6"
"info.archinnov.achilles.internals.cassandra_version.V3_1,0,1,1,0,2,2"
"info.archinnov.achilles.internals.cassandra_version.V3_10,7,1,6,5,8,7"
"info.archinnov.achilles.internals.cassandra_version.V3_11_0,0,1,1,0,2,2"
"info.archinnov.achilles.internals.cassandra_version.V3_11_1,0,1,1,0,2,2"
"info.archinnov.achilles.internals.cassandra_version.V3_11_2,0,1,1,0,2,2"
"info.archinnov.achilles.internals.cassandra_version.V3_11_3,0,1,1,0,2,2"
"info.archinnov.achilles.internals.cassandra_version.V3_11_4,0,1,1,0,2,2"
"info.archinnov.achilles.internals.cassandra_version.V3_2,2,1,3,4,5,4"
"info.archinnov.achilles.internals.cassandra_version.V3_3,0,1,1,0,2,2"
"info.archinnov.achilles.internals.cassandra_version.V3_4,0,1,1,0,2,2"
"info.archinnov.achilles.internals.cassandra_version.V3_5,0,1,1,0,2,2"
"info.archinnov.achilles.internals.cassandra_version.V3_6,5,1,5,1,7,6"
"info.archinnov.achilles.internals.cassandra_version.V3_7,5,1,4,1,6,5"
"info.archinnov.achilles.internals.cassandra_version.V3_8,2,1,3,1,5,4"
"info.archinnov.achilles.internals.cassandra_version.V3_9,0,1,1,1,2,2"
"info.archinnov.achilles.internals.codec.ByteArrayCodec,3,1,3,0,12,11"
"info.archinnov.achilles.internals.codec.ByteArrayPrimitiveCodec,2,1,3,0,13,9"
"info.archinnov.achilles.internals.codec.EnumNameCodec,2,1,3,0,17,14"
"info.archinnov.achilles.internals.codec.EnumOrdinalCodec,2,1,3,0,16,14"
"info.archinnov.achilles.internals.codec.FallThroughCodec,3,1,4,0,6,6"
"info.archinnov.achilles.internals.codec.JSONCodec,3,1,3,0,14,10"
"info.archinnov.achilles.internals.codecs.CodecOnClass,4,1,4,0,5,4"
"info.archinnov.achilles.internals.codecs.EncodingOrdinalCodec,7,1,4,0,6,4"
"info.archinnov.achilles.internals.codecs.IntToStringCodec,4,1,4,0,6,4"
"info.archinnov.achilles.internals.codecs.IntWrapperCodec,4,1,4,0,5,4"
"info.archinnov.achilles.internals.codecs.ProtocolVersionCodec,5,1,4,0,5,6"
"info.archinnov.achilles.internals.codecs.StringToLongCodec,4,1,4,0,6,4"
"info.archinnov.achilles.internals.codegen.ManagerCodeGen,10,1,1,0,36,18"
"info.archinnov.achilles.internals.codegen.ManagerCodeGen.ManagerAndDSLClasses,3,1,0,0,1,1"
"info.archinnov.achilles.internals.codegen.ManagerCodeGenTest,15,3,1,0,18,1"
"info.archinnov.achilles.internals.codegen.ManagerFactoryBuilderCodeGen,3,1,1,0,5,1"
"info.archinnov.achilles.internals.codegen.ManagerFactoryCodeGen,10,1,1,0,24,11"
"info.archinnov.achilles.internals.codegen.ManagerFactoryCodeGen.ManagersAndDSLClasses,2,1,0,0,1,1"
"info.archinnov.achilles.internals.codegen.TypeParsingResultConsumer,n/a,n/a,n/a,n/a,5,n/a"
"info.archinnov.achilles.internals.codegen.crud.CrudAPICodeGen,14,1,1,2,26,14"
"info.archinnov.achilles.internals.codegen.crud.cassandra2_1.CrudAPICodeGen2_1,3,2,1,0,1,1"
"info.archinnov.achilles.internals.codegen.crud.cassandra2_2.CrudAPICodeGen2_2,4,2,1,0,1,1"
"info.archinnov.achilles.internals.codegen.dsl.AbstractDSLCodeGen,35,1,3,6,52,33"
"info.archinnov.achilles.internals.codegen.dsl.AbstractDSLCodeGen.ClassSignatureInfo,27,1,1,0,7,6"
"info.archinnov.achilles.internals.codegen.dsl.AbstractDSLCodeGen.ClassSignatureParams,10,1,2,0,6,4"
"info.archinnov.achilles.internals.codegen.dsl.AbstractDSLCodeGen.FieldSignatureInfo,29,1,1,1,3,2"
"info.archinnov.achilles.internals.codegen.dsl.AbstractDSLCodeGen.IndexFieldSignatureInfo,11,2,1,0,3,2"
"info.archinnov.achilles.internals.codegen.dsl.AbstractDSLCodeGen.ReturnType,26,n/a,2,n/a,2,0"
"info.archinnov.achilles.internals.codegen.dsl.AbstractDSLCodeGen.WhereClauseFor,5,n/a,2,n/a,2,0"
"info.archinnov.achilles.internals.codegen.dsl.BaseSingleColumnRestriction,n/a,n/a,n/a,n/a,8,n/a"
"info.archinnov.achilles.internals.codegen.dsl.JSONFunctionCallSupport,n/a,n/a,n/a,n/a,14,n/a"
"info.archinnov.achilles.internals.codegen.dsl.LWTConditionsCodeGen,n/a,n/a,n/a,n/a,10,n/a"
"info.archinnov.achilles.internals.codegen.dsl.MultiColumnsSliceRestrictionCodeGen,n/a,n/a,n/a,n/a,25,n/a"
"info.archinnov.achilles.internals.codegen.dsl.delete.DeleteDSLCodeGen,13,2,1,1,32,7"
"info.archinnov.achilles.internals.codegen.dsl.delete.DeleteWhereDSLCodeGen,17,2,1,2,39,9"
"info.archinnov.achilles.internals.codegen.dsl.delete.cassandra2_1.DeleteDSLCodeGen2_1,2,3,0,0,0,0"
"info.archinnov.achilles.internals.codegen.dsl.delete.cassandra2_1.DeleteWhereDSLCodeGen2_1,5,3,4,0,4,4"
"info.archinnov.achilles.internals.codegen.dsl.delete.cassandra2_2.DeleteWhereDSLCodeGen2_2,7,3,4,1,6,4"
"info.archinnov.achilles.internals.codegen.dsl.delete.cassandra3_0.DeleteWhereDSLCodeGen3_0,13,4,2,0,30,4"
"info.archinnov.achilles.internals.codegen.dsl.select.SelectDSLCodeGen,24,2,1,3,48,17"
"info.archinnov.achilles.internals.codegen.dsl.select.SelectDSLCodeGen.SelectColumnsSignature,2,1,2,0,3,3"
"info.archinnov.achilles.internals.codegen.dsl.select.SelectDSLCodeGenTest,16,3,1,0,19,1"
"info.archinnov.achilles.internals.codegen.dsl.select.SelectWhereDSLCodeGen,25,2,1,3,55,14"
"info.archinnov.achilles.internals.codegen.dsl.select.cassandra2_1.SelectDSLCodeGen2_1,5,3,1,0,1,1"
"info.archinnov.achilles.internals.codegen.dsl.select.cassandra2_1.SelectWhereDSLCodeGen2_1,7,3,3,0,4,3"
"info.archinnov.achilles.internals.codegen.dsl.select.cassandra2_2.SelectDSLCodeGen2_2,13,3,1,1,14,1"
"info.archinnov.achilles.internals.codegen.dsl.select.cassandra2_2.SelectWhereDSLCodeGen2_2,11,3,3,1,7,3"
"info.archinnov.achilles.internals.codegen.dsl.select.cassandra3_10.SelectDSLCodeGen3_10,10,4,1,0,20,5"
"info.archinnov.achilles.internals.codegen.dsl.select.cassandra3_10.SelectWhereDSLCodeGen3_10,7,5,1,0,14,3"
"info.archinnov.achilles.internals.codegen.dsl.select.cassandra3_6.SelectWhereDSLCodeGen3_6,5,4,1,1,1,1"
"info.archinnov.achilles.internals.codegen.dsl.update.UpdateDSLCodeGen,20,2,1,2,50,26"
"info.archinnov.achilles.internals.codegen.dsl.update.UpdateDSLCodeGen.ParentSignature,6,1,1,0,2,2"
"info.archinnov.achilles.internals.codegen.dsl.update.UpdateWhereDSLCodeGen,16,2,1,2,36,9"
"info.archinnov.achilles.internals.codegen.dsl.update.cassandra2_1.UpdateDSLCodeGen2_1,5,3,1,0,1,1"
"info.archinnov.achilles.internals.codegen.dsl.update.cassandra2_1.UpdateWhereDSLCodeGen2_1,4,3,3,0,3,3"
"info.archinnov.achilles.internals.codegen.dsl.update.cassandra2_2.UpdateDSLCodeGen2_2,7,3,1,1,2,1"
"info.archinnov.achilles.internals.codegen.dsl.update.cassandra2_2.UpdateWhereDSLCodeGen2_2,6,3,3,1,5,3"
"info.archinnov.achilles.internals.codegen.dsl.update.cassandra3_0.UpdateWhereDSLCodeGen3_0,6,4,1,0,3,1"
"info.archinnov.achilles.internals.codegen.dsl.update.cassandra3_6.UpdateDSLCodeGen3_6,8,4,1,0,7,3"
"info.archinnov.achilles.internals.codegen.function.FunctionParameterTypesCodeGen,11,1,2,2,13,4"
"info.archinnov.achilles.internals.codegen.function.FunctionsRegistryCodeGen,12,1,1,2,12,5"
"info.archinnov.achilles.internals.codegen.function.InternalSystemFunctionRegistry,6,1,0,0,17,0"
"info.archinnov.achilles.internals.codegen.function.cassandra2_1.FunctionParameterTypesCodeGen2_1,3,2,2,0,3,2"
"info.archinnov.achilles.internals.codegen.function.cassandra2_1.FunctionsRegistryCodeGen2_1,2,2,0,0,0,0"
"info.archinnov.achilles.internals.codegen.function.cassandra2_2.FunctionsRegistryCodeGen2_2,6,2,1,1,8,3"
"info.archinnov.achilles.internals.codegen.function.cassandra3_2.FunctionsRegistryCodeGen3_2,8,3,1,0,19,3"
"info.archinnov.achilles.internals.codegen.function.cassandra3_8.FunctionParameterTypesCodeGen3_8,5,2,2,0,4,2"
"info.archinnov.achilles.internals.codegen.index.DSESearchSupport,n/a,n/a,n/a,n/a,21,n/a"
"info.archinnov.achilles.internals.codegen.index.DSESearchSupport.AugmentRelationClassForWhereClauseLambda,n/a,n/a,n/a,n/a,1,n/a"
"info.archinnov.achilles.internals.codegen.index.IndexSelectDSLCodeGen,16,3,1,1,35,4"
"info.archinnov.achilles.internals.codegen.index.IndexSelectDSLCodeGenTest,16,3,1,0,19,1"
"info.archinnov.achilles.internals.codegen.index.IndexSelectWhereDSLCodeGen,28,3,1,1,48,21"
"info.archinnov.achilles.internals.codegen.index.SASISupport,n/a,n/a,n/a,n/a,4,n/a"
"info.archinnov.achilles.internals.codegen.index.cassandra2_1.IndexSelectDSLCodeGen2_1,6,4,1,1,1,1"
"info.archinnov.achilles.internals.codegen.index.cassandra2_1.IndexSelectWhereDSLCodeGen2_1,10,4,5,2,5,5"
"info.archinnov.achilles.internals.codegen.index.cassandra2_2.IndexSelectDSLCodeGen2_2,6,5,1,0,7,1"
"info.archinnov.achilles.internals.codegen.index.cassandra2_2.IndexSelectWhereDSLCodeGen2_2,17,5,3,2,10,9"
"info.archinnov.achilles.internals.codegen.index.cassandra3_7.IndexSelectWhereDSLCodeGen3_7,20,6,1,0,13,6"
"info.archinnov.achilles.internals.codegen.index.dse_4_8.IndexSelectWhereDSLCodeGen_DSE_4_8,15,5,1,0,26,2"
"info.archinnov.achilles.internals.codegen.index.dse_5_0_0.IndexSelectWhereDSLCodeGen_DSE_5_0_0,16,6,1,0,26,2"
"info.archinnov.achilles.internals.codegen.meta.CommonBeanMetaCodeGen,n/a,n/a,n/a,n/a,7,n/a"
"info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGen,17,1,1,0,72,41"
"info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGen.EntityMetaSignature,51,1,5,0,58,51"
"info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,18,3,1,0,46,29"
"info.archinnov.achilles.internals.codegen.meta.EntityMetaColumnsForFunctionsCodeGen,9,1,1,0,15,4"
"info.archinnov.achilles.internals.codegen.meta.UDTMetaCodeGen,9,1,1,0,42,19"
"info.archinnov.achilles.internals.codegen.meta.UDTMetaCodeGenTest,10,3,2,0,18,2"
"info.archinnov.achilles.internals.config.AchillesConfig,n/a,n/a,n/a,n/a,0,n/a"
"info.archinnov.achilles.internals.config.AnotherCodecRegistry,1,1,0,0,0,0"
"info.archinnov.achilles.internals.config.FunctionRegistry3_8,n/a,n/a,n/a,n/a,3,n/a"
"info.archinnov.achilles.internals.config.FunctionsRegistry3_2,n/a,n/a,n/a,n/a,1,n/a"
"info.archinnov.achilles.internals.config.MyCodecRegistry,n/a,n/a,n/a,n/a,0,n/a"
"info.archinnov.achilles.internals.config.MyFunctionRegistry,n/a,n/a,n/a,n/a,4,n/a"
"info.archinnov.achilles.internals.constraints.UDTValidator,1,1,2,0,10,4"
"info.archinnov.achilles.internals.constraints.ValidUDT,n/a,n/a,n/a,n/a,3,n/a"
"info.archinnov.achilles.internals.context.ConfigurationContext,23,1,17,0,84,62"
"info.archinnov.achilles.internals.cql.TupleExtractor,12,1,1,0,4,23"
"info.archinnov.achilles.internals.cql.TypeMapper,1,1,1,0,4,1"
"info.archinnov.achilles.internals.dsl.AsyncAware,n/a,n/a,n/a,n/a,5,n/a"
"info.archinnov.achilles.internals.dsl.LWTHelper,13,1,1,0,21,14"
"info.archinnov.achilles.internals.dsl.RawAndTypeMapDefaultImpl,n/a,n/a,n/a,n/a,18,n/a"
"info.archinnov.achilles.internals.dsl.SchemaNameAware,n/a,n/a,n/a,n/a,10,n/a"
"info.archinnov.achilles.internals.dsl.StatementProvider,n/a,n/a,n/a,n/a,4,n/a"
"info.archinnov.achilles.internals.dsl.StatementTypeAware,n/a,n/a,n/a,n/a,9,n/a"
"info.archinnov.achilles.internals.dsl.TypedMapAware,n/a,n/a,n/a,n/a,19,n/a"
"info.archinnov.achilles.internals.dsl.action.MutationAction,n/a,n/a,n/a,n/a,7,n/a"
"info.archinnov.achilles.internals.dsl.action.SelectAction,n/a,n/a,n/a,n/a,18,n/a"
"info.archinnov.achilles.internals.dsl.action.SelectJSONAction,n/a,n/a,n/a,n/a,18,n/a"
"info.archinnov.achilles.internals.dsl.crud.DeleteByPartitionWithOptions,13,2,2,0,24,11"
"info.archinnov.achilles.internals.dsl.crud.DeleteWithOptions,16,2,2,0,33,17"
"info.archinnov.achilles.internals.dsl.crud.FindWithOptions,13,2,2,0,35,14"
"info.archinnov.achilles.internals.dsl.crud.InsertJSONWithOptions,12,2,3,0,27,13"
"info.archinnov.achilles.internals.dsl.crud.InsertWithOptions,14,2,2,0,36,18"
"info.archinnov.achilles.internals.dsl.crud.UpdateWithOptions,12,2,2,0,33,15"
"info.archinnov.achilles.internals.dsl.options.AbstractOptionsForCRUDInsert,7,1,5,2,21,9"
"info.archinnov.achilles.internals.dsl.options.AbstractOptionsForCRUDUpdate,4,1,5,1,16,8"
"info.archinnov.achilles.internals.dsl.options.AbstractOptionsForSelect,5,1,1,7,43,23"
"info.archinnov.achilles.internals.dsl.options.AbstractOptionsForUpdateOrDelete,5,1,2,4,6,3"
"info.archinnov.achilles.internals.dsl.query.delete.AbstractDelete,2,1,0,0,2,1"
"info.archinnov.achilles.internals.dsl.query.delete.AbstractDeleteColumns,1,1,0,0,1,1"
"info.archinnov.achilles.internals.dsl.query.delete.AbstractDeleteEnd,10,2,2,0,24,12"
"info.archinnov.achilles.internals.dsl.query.delete.AbstractDeleteFrom,1,1,0,0,1,1"
"info.archinnov.achilles.internals.dsl.query.delete.AbstractDeleteWhere,1,1,0,0,1,1"
"info.archinnov.achilles.internals.dsl.query.delete.AbstractDeleteWherePartition,1,1,0,0,1,1"
"info.archinnov.achilles.internals.dsl.query.select.AbstractIndexSelectWhere,6,1,1,0,13,5"
"info.archinnov.achilles.internals.dsl.query.select.AbstractIndexSelectWhereJSON,6,1,1,0,13,5"
"info.archinnov.achilles.internals.dsl.query.select.AbstractIndexSelectWhereTypeMap,6,1,1,0,13,5"
"info.archinnov.achilles.internals.dsl.query.select.AbstractSelect,2,1,0,0,2,1"
"info.archinnov.achilles.internals.dsl.query.select.AbstractSelectColumns,1,1,0,0,1,1"
"info.archinnov.achilles.internals.dsl.query.select.AbstractSelectColumnsTypeMap,1,1,0,0,1,1"
"info.archinnov.achilles.internals.dsl.query.select.AbstractSelectFrom,1,1,0,0,1,1"
"info.archinnov.achilles.internals.dsl.query.select.AbstractSelectFromJSON,1,1,0,0,1,1"
"info.archinnov.achilles.internals.dsl.query.select.AbstractSelectFromTypeMap,1,1,0,0,1,1"
"info.archinnov.achilles.internals.dsl.query.select.AbstractSelectWhere,15,2,2,1,44,20"
"info.archinnov.achilles.internals.dsl.query.select.AbstractSelectWhereJSON,11,2,2,1,33,12"
"info.archinnov.achilles.internals.dsl.query.select.AbstractSelectWherePartition,1,1,0,0,1,1"
"info.archinnov.achilles.internals.dsl.query.select.AbstractSelectWherePartitionJSON,1,1,0,0,1,1"
"info.archinnov.achilles.internals.dsl.query.select.AbstractSelectWherePartitionTypeMap,1,1,0,0,1,1"
"info.archinnov.achilles.internals.dsl.query.select.AbstractSelectWhereTypeMap,12,2,2,1,32,14"
"info.archinnov.achilles.internals.dsl.query.update.AbstractUpdate,2,1,0,0,2,1"
"info.archinnov.achilles.internals.dsl.query.update.AbstractUpdateColumns,1,1,0,0,1,1"
"info.archinnov.achilles.internals.dsl.query.update.AbstractUpdateEnd,10,2,2,0,26,13"
"info.archinnov.achilles.internals.dsl.query.update.AbstractUpdateFrom,1,1,0,0,1,1"
"info.archinnov.achilles.internals.dsl.query.update.AbstractUpdateWhere,1,1,0,0,1,1"
"info.archinnov.achilles.internals.dsl.raw.NativeQuery,11,1,1,0,31,14"
"info.archinnov.achilles.internals.dsl.raw.TypedQuery,12,1,1,0,41,18"
"info.archinnov.achilles.internals.dsl.raw.TypedQueryValidator,2,1,1,0,13,2"
"info.archinnov.achilles.internals.entities.AddressUDT,0,1,2,0,6,6"
"info.archinnov.achilles.internals.entities.CaseSensitiveUDT,1,1,2,0,4,4"
"info.archinnov.achilles.internals.entities.EntityAsChild,2,1,1,0,5,4"
"info.archinnov.achilles.internals.entities.EntityAsParent,0,1,2,1,6,6"
"info.archinnov.achilles.internals.entities.EntityForAggregate,1,1,0,0,1,1"
"info.archinnov.achilles.internals.entities.EntityForCastFunctionCall,1,1,2,0,4,4"
"info.archinnov.achilles.internals.entities.EntityForGroupBy,1,1,0,0,1,1"
"info.archinnov.achilles.internals.entities.EntityForJSONCall,1,1,6,0,12,12"
"info.archinnov.achilles.internals.entities.EntityLayer1,1,1,2,0,6,6"
"info.archinnov.achilles.internals.entities.EntitySensor,4,1,4,0,10,10"
"info.archinnov.achilles.internals.entities.EntitySensor.SensorType,3,n/a,2,n/a,2,0"
"info.archinnov.achilles.internals.entities.EntityWithBeanValidation,1,1,4,0,10,10"
"info.archinnov.achilles.internals.entities.EntityWithByteBufferType,1,1,2,0,6,6"
"info.archinnov.achilles.internals.entities.EntityWithCaseSensitivePK,1,1,7,0,16,16"
